n"ID";"SoortMisdrijf";"RegioS";"Perioden";"TotaalGeregistreerdeMisdrijven_1";"GeregistreerdeMisdrijvenRelatief_2";"GeregistreerdeMisdrijvenPer1000Inw_3";"TotaalOpgehelderdeMisdrijven_4";"OpgehelderdeMisdrijvenRelatief_5";"RegistratiesVanVerdachten_6"
"168559";"CRI2200";"GM0917";"2023JJ00";"     155";"       2";"     1.8";"      70";"    44.4";"      95"
"175462";"CRI2210";"GM0917";"2010JJ00";"      70";"       1";"       .";"      55";"    75.7";"     135"
"175475";"CRI2210";"GM0917";"2023JJ00";"      30";"       0";"       .";"      15";"    60.7";"      40"
"182378";"CRI2211";"GM0917";"2010JJ00";"      55";"       1";"       .";"      45";"    78.2";"     110"
"182391";"CRI2211";"GM0917";"2023JJ00";"      25";"       0";"       .";"      15";"    58.3";"      35"
"189294";"CRI2212";"GM0917";"2010JJ00";"      15";"       0";"       .";"      10";"    66.7";"      25"
"189307";"CRI2212";"GM0917";"2023JJ00";"       5";"       0";"       .";"       5";"    75.0";"       5"
"196210";"CRI2220";"GM0917";"2010JJ00";"      25";"       0";"       .";"      20";"    87.0";"      20"
"196223";"CRI2220";"GM0917";"2023JJ00";"      40";"       1";"       .";"      35";"    85.7";"      40"
"203126";"CRI2230";"GM0917";"2010JJ00";"      10";"       0";"       .";"      10";"   100.0";"      10"
"203139";"CRI2230";"GM0917";"2023JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"210042";"CRI2240";"GM0917";"2010JJ00";"       5";"       0";"       .";"       5";"    57.1";"       5"
"210055";"CRI2240";"GM0917";"2023JJ00";"      65";"       1";"       .";"       0";"     0.0";"       0"
"216958";"CRI2250";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"216971";"CRI2250";"GM0917";"2023JJ00";"       5";"       0";"       .";"       0";"     0.0";"       0"
"223874";"CRI2260";"GM0917";"2010JJ00";"      70";"       1";"       .";"      70";"    98.6";"      70"
"223887";"CRI2260";"GM0917";"2023JJ00";"      10";"       0";"       .";"      10";"    91.7";"      15"
"230790";"CRI2300";"GM0917";"2010JJ00";"      80";"       1";"       .";"      15";"    15.9";"      25"
"230803";"CRI2300";"GM0917";"2023JJ00";"      50";"       1";"       .";"      10";"    17.6";"      15"
"237706";"CRI2400";"GM0917";"2010JJ00";"      50";"       1";"       .";"      50";"    98.0";"      50"
"237719";"CRI2400";"GM0917";"2023JJ00";"      75";"       1";"       .";"      70";"    97.3";"      75"
"244622";"CRI2410";"GM0917";"2010JJ00";"      25";"       0";"       .";"      25";"   100.0";"      30"
"244635";"CRI2410";"GM0917";"2023JJ00";"      40";"       1";"       .";"      40";"   100.0";"      40"
"251538";"CRI2420";"GM0917";"2010JJ00";"      10";"       0";"       .";"      10";"   100.0";"      10"
"251551";"CRI2420";"GM0917";"2023JJ00";"      25";"       0";"       .";"      25";"   100.0";"      25"
"258454";"CRI2430";"GM0917";"2010JJ00";"      15";"       0";"       .";"      10";"    92.3";"      10"
"258467";"CRI2430";"GM0917";"2023JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"265370";"CRI2450";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"265383";"CRI2450";"GM0917";"2023JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"272286";"CRI2460";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"272299";"CRI2460";"GM0917";"2023JJ00";"       5";"       0";"       .";"       0";"     0.0";"       5"
"279202";"CRI3000";"GM0917";"2010JJ00";"    1090";"      11";"    12.2";"     760";"    69.9";"     830"
"279215";"CRI3000";"GM0917";"2023JJ00";"     725";"      12";"     8.3";"     295";"    40.9";"     415"
"286118";"CRI3100";"GM0917";"2010JJ00";"     570";"       6";"     6.4";"     435";"    76.6";"     490"
"286131";"CRI3100";"GM0917";"2023JJ00";"     385";"       6";"     4.4";"     170";"    44.5";"     220"
"293034";"CRI3200";"GM0917";"2010JJ00";"     400";"       4";"     4.5";"     260";"    64.3";"     270"
"293047";"CRI3200";"GM0917";"2023JJ00";"     215";"       3";"     2.4";"      90";"    42.7";"     120"
"299950";"CRI3210";"GM0917";"2010JJ00";"     365";"       4";"     4.1";"     235";"    63.5";"     235"
"299963";"CRI3210";"GM0917";"2023JJ00";"     185";"       3";"     2.1";"      80";"    42.2";"     105"
"306866";"CRI3220";"GM0917";"2010JJ00";"      35";"       0";"       .";"      25";"    73.5";"      30"
"306879";"CRI3220";"GM0917";"2023JJ00";"      25";"       0";"       .";"      10";"    46.2";"      15"
"313782";"CRI3300";"GM0917";"2010JJ00";"      55";"       1";"       .";"      25";"    45.5";"      25"
"313795";"CRI3300";"GM0917";"2023JJ00";"      75";"       1";"       .";"      10";"    15.8";"      45"
"320698";"CRI3310";"GM0917";"2010JJ00";"      10";"       0";"       .";"       5";"    41.7";"       5"
"320711";"CRI3310";"GM0917";"2023JJ00";"      20";"       0";"       .";"       0";"     0.0";"      10"
"327614";"CRI3320";"GM0917";"2010JJ00";"      10";"       0";"       .";"       5";"    37.5";"       5"
"327627";"CRI3320";"GM0917";"2023JJ00";"      20";"       0";"       .";"       0";"     0.0";"       5"
"334530";"CRI3330";"GM0917";"2010JJ00";"      10";"       0";"       .";"       5";"    41.7";"       5"
"334543";"CRI3330";"GM0917";"2023JJ00";"       5";"       0";"       .";"       0";"     0.0";"       5"
"341446";"CRI3340";"GM0917";"2010JJ00";"      15";"       0";"       .";"       5";"    53.8";"      10"
"341459";"CRI3340";"GM0917";"2023JJ00";"       5";"       0";"       .";"       0";"     0.0";"       0"
"348362";"CRI3350";"GM0917";"2010JJ00";"       5";"       0";"       .";"       5";"    60.0";"       5"
"348375";"CRI3350";"GM0917";"2023JJ00";"      10";"       0";"       .";"       5";"    63.6";"      10"
"355278";"CRI3360";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"355291";"CRI3360";"GM0917";"2023JJ00";"       5";"       0";"       .";"       0";"     0.0";"       5"
"362194";"CRI3370";"GM0917";"2010JJ00";"       5";"       0";"       .";"       0";"     0.0";"       0"
"362207";"CRI3370";"GM0917";"2023JJ00";"      10";"       0";"       .";"       0";"     0.0";"       5"
"369110";"CRI3400";"GM0917";"2010JJ00";"      40";"       0";"       .";"      30";"    77.5";"      35"
"369123";"CRI3400";"GM0917";"2023JJ00";"      25";"       0";"       .";"      10";"    29.6";"      15"
"376026";"CRI3500";"GM0917";"2010JJ00";"       5";"       0";"       .";"       0";"     0.0";"       0"
"376039";"CRI3500";"GM0917";"2023JJ00";"       5";"       0";"       .";"       5";"    71.4";"      10"
"382942";"CRI3624";"GM0917";"2010JJ00";"       5";"       0";"       .";"       5";"    42.9";"       5"
"382955";"CRI3624";"GM0917";"2023JJ00";"      15";"       0";"       .";"      10";"    61.5";"      10"
"389858";"CRI3700";"GM0917";"2010JJ00";"      15";"       0";"       .";"      10";"    53.3";"      10"
"389871";"CRI3700";"GM0917";"2023JJ00";"       5";"       0";"       .";"       0";"     0.0";"       5"
"396774";"CRI4000";"GM0917";"2010JJ00";"      70";"       1";"       .";"      50";"    69.0";"      45"
"396787";"CRI4000";"GM0917";"2023JJ00";"      85";"       1";"       .";"      50";"    57.1";"      55"
"403690";"CRI5000";"GM0917";"2010JJ00";"    1230";"      13";"    13.8";"     410";"    33.2";"     415"
"403703";"CRI5000";"GM0917";"2023JJ00";"    1115";"      18";"    12.8";"     465";"    41.7";"     470"
"410606";"CRI5100";"GM0917";"2010JJ00";"     875";"       9";"     9.8";"      65";"     7.7";"      65"
