"Geregistreerde criminaliteit; soort misdrijf, regio"
"Regio's: Nederland"
"Onderwerp: |Totaal geregistreerde misdrijven"
"";"Perioden"
"";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022*";"2023*"
"Soort misdrijf";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"33 Seksueel misdrijf";"9720";"9130";"9055";"8550";"8190";"7730";"8235";"8425";"9120";"8335";"8090";"8785";"10105";"9110"
"331 Aanranding";"2495";"2190";"2075";"1950";"1820";"1720";"2220";"2210";"2385";"2250";"1955";"2270";"2995";"2560"
"332 Verkrachting";"1645";"1570";"1450";"1245";"1220";"1265";"1535";"1760";"1940";"2055";"2065";"2405";"2905";"2415"
"333 Schennis der eerbaarheid";"2015";"1940";"1875";"1700";"1590";"1445";"1380";"1275";"1300";"1070";"1235";"1095";"1015";"965"
"334 Ontucht met minderjarige";"1055";"850";"1085";"1025";"1045";"875";"860";"875";"930";"1015";"910";"970";"1045";"785"
"335 Pornografie";"575";"570";"635";"785";"690";"660";"445";"425";"390";"540";"410";"460";"515";"550"
"336 Ontucht met misbruik van gezag";"575";"560";"580";"615";"565";"565";"530";"550";"685";"705";"770";"830";"810";"680"
"337 Seksueel misdrijf (overig)";"1360";"1450";"1360";"1230";"1255";"1195";"1265";"1325";"1495";"695";"750";"755";"820";"1155"
"34 Levensmisdrijf";"4105";"4230";"3890";"3525";"3370";"3255";"3120";"3010";"2870";"2660";"2750";"2735";"2845";"2575"
"35 Vrijheidsbeneming/gijzeling";"655";"580";"605";"525";"415";"440";"420";"400";"425";"515";"520";"460";"450";"450"
"36 Mensenhandel en 244 mensensmokkel";"705";"720";"785";"590";"625";"625";"730";"725";"875";"1360";"765";"800";"855";"815"
"37 Geweldsmisdrijf (overig)";"1115";"1215";"1215";"1100";"1115";"1035";"1020";"975";"945";"1030";"1030";"1190";"920";"925"
"4 Misdrijven WvSr (overig)";"10855";"11690";"11785";"11290";"12020";"11000";"11210";"10525";"10895";"11475";"12295";"11720";"11500";"10395"
"5 Verkeersmisdrijven";"143915";"146710";"136925";"131335";"122150";"114735";"114830";"111865";"118285";"125500";"115575";"120000";"139245";"132900"
"51 Verlaten plaats ongeval";"87820";"90780";"85975";"85410";"79835";"78340";"78750";"76930";"79210";"81345";"72900";"73020";"78675";"73960"
"52 Rijden onder invloed";"47525";"46890";"41140";"36205";"32280";"27230";"26475";"25775";"28945";"33295";"29625";"31910";"42745";"42210"
"53 Rijden tijdens ontzegging besturen";"2670";"2675";"3730";"3955";"4175";"3840";"4215";"4310";"4700";"4995";"6670";"7420";"8775";"9320"
"54 Rijden tijdens rijverbod";"135";"145";"150";"115";"135";"95";"90";"70";"90";"105";"150";"210";"320";"330"
"55 Voeren vals kenteken";"845";"865";"825";"750";"715";"615";"660";"640";"705";"775";"940";"880";"965";"860"
"56 Joyriding";"360";"340";"335";"305";"270";"280";"300";"250";"255";"310";"270";"255";"250";"230"
"57 Weigeren blaastest/bloedonderzoek ed";"390";"415";"355";"330";"335";"310";"380";"340";"545";"650";"750";"1215";"2110";"2385"
"58 Verkeersmisdrijf (overig)";"4175";"4605";"4415";"4270";"4400";"4025";"3955";"3555";"3830";"4025";"4270";"5090";"5410";"3610"
"6 Drugsmisdrijven";"18030";"17130";"17580";"17035";"16310";"14770";"13275";"12525";"13370";"14700";"13285";"12200";"12245";"14305"
"61 Harddrugs";"8255";"7615";"7870";"7470";"7715";"7390";"6760";"6570";"7050";"7820";"6960";"6540";"7330";"8740"
"62 Softdrugs";"8620";"8425";"8860";"9070";"8195";"7005";"6295";"5740";"6140";"6690";"6160";"5525";"4725";"5375"
"6.3 Drugsmisdrijf (overig)";"1155";"1095";"850";"495";"400";"375";"220";"215";"180";"195";"165";"135";"190";"190"
"7 Vuurwapenmisdrijven";"6500";"7405";"7045";"6520";"5875";"5545";"5415";"4740";"5470";"6580";"6820";"6995";"7100";"6985"
"9 Misdrijven overige wetten";"4195";"4230";"4480";"4130";"3880";"3530";"3425";"3370";"3805";"3580";"4320";"4735";"4525";"3420"
"91 Militaire misdrijven";"75";"70";"55";"45";"60";"40";"30";"20";"25";"20";"5";"5";"5";"15"
"92 Misdrijven (overig)";"4120";"4160";"4425";"4085";"3820";"3490";"3395";"3350";"3780";"3560";"4310";"4730";"4515";"3410"
"Bron: CBS"
